time;ahrsDataKalman.angData[0];ahrsDataKalman.angData[1];ahrsDataKalman.angData[2];ahrsDataMahony.angData[0];ahrsDataMahony.angData[1];ahrsDataMahony.angData[2]
2024-09-08-01:09:18.095912;-0.02721435546874984;-0.5251220703124999;0.0;-0.0022998046875000178;-0.4685852050781252;-0.007091064453125018;
2024-09-08-01:09:18.098059;-0.06190307617187507;-0.5019323730468752;0.0;-0.00325805664062484;-0.4666687011718751;-0.007282714843749982;
2024-09-08-01:09:18.100147;-0.0636279296875002;-0.48238403320312484;0.0;-0.0034497070312498046;-0.46551879882812486;-0.007474365234374947;
2024-09-08-01:09:18.102259;-0.07991821289062484;-0.4701184082031249;0.0;-0.004407958984375071;-0.4634106445312498;-0.007666015624999911;
2024-09-08-01:09:18.107406;-0.08873413085937498;-0.46149414062500016;0.0;-0.0049829101562499645;-0.4613024902343752;-0.007857666015624876;
2024-09-08-01:09:18.108166;-0.0808764648437501;-0.45593627929687486;0.0;-0.005174560546874929;-0.46015258789062496;-0.007857666015624876;
2024-09-08-01:09:18.108833;-0.06937744140625002;-0.4473120117187501;0.0;-0.005557861328124858;-0.4576611328125;-0.007857666015624876;
2024-09-08-01:09:18.110739;-0.06611938476562518;-0.4568945312500001;0.0;-0.005749511718749822;-0.4557446289062499;-0.007857666015624876;
2024-09-08-01:09:18.116989;-0.06171142578125011;-0.45440307617187514;0.0;-0.005749511718749822;-0.4545947265625001;-0.007857666015624876;
2024-09-08-01:09:18.117773;-0.05519531249999998;-0.4522949218750001;0.0;-0.005749511718749822;-0.45248657226562505;-0.007857666015624876;
2024-09-08-01:09:18.118439;-0.06132812500000018;-0.4641772460937501;0.0;-0.005749511718749822;-0.45057006835937496;-0.007857666015624876;
2024-09-08-01:09:18.127461;-0.05979492187500002;-0.464752197265625;0.0;-0.005749511718749822;-0.4494201660156252;-0.007857666015624876;
2024-09-08-01:09:18.128055;-0.06401123046875012;-0.4714599609375001;0.0;-0.005557861328124858;-0.4475036621093751;-0.007857666015624876;
2024-09-08-01:09:18.128615;-0.05960327148437505;-0.47893432617187504;0.0;-0.005366210937499893;-0.445587158203125;-0.007857666015624876;
2024-09-08-01:09:18.129196;-0.0636279296875002;-0.47510131835937486;0.0;-0.005366210937499893;-0.4446289062500002;-0.007857666015624876;
2024-09-08-01:09:18.129874;-0.05423706054687516;-0.4653271484374999;0.0;-0.005174560546874929;-0.4425207519531251;-0.007857666015624876;
2024-09-08-01:09:18.130440;-0.040054931640625124;-0.44884521484374984;0.0;-0.004791259765625;-0.4402209472656251;-0.007857666015624876;
2024-09-08-01:09:18.131951;-0.029705810546874822;-0.44156249999999986;0.0;-0.0045996093750000355;-0.43926269531249984;-0.007857666015624876;
2024-09-08-01:09:18.137454;-0.013990478515625071;-0.42853027343750005;0.0;-0.004216308593750107;-0.43677124023437486;-0.007857666015624876;
2024-09-08-01:09:18.138404;0.008624267578125178;-0.4156896972656252;0.0;-0.0038330078125001776;-0.43447143554687484;-0.00804931640624984;
2024-09-08-01:09:18.139145;0.02069824218750016;-0.41243164062499993;0.0;-0.0034497070312498046;-0.43351318359375;-0.00804931640624984;
2024-09-08-01:09:18.140451;0.044462890625000195;-0.4108984375000002;0.0;-0.0026831054687499467;-0.43102172851562504;-0.00804931640624984;
2024-09-08-01:09:18.144577;0.0628613281249999;-0.41223999023437496;0.0;-0.0021081542968750533;-0.42891357421875;-0.00804931640624984;
2024-09-08-01:09:18.145230;0.07033569335937484;-0.4133898925781252;0.0;-0.0017248535156251243;-0.4277636718750002;-0.00804931640624984;
2024-09-08-01:09:18.146790;0.0780017089843752;-0.4206726074218752;0.0;-0.0011499023437497868;-0.42565551757812514;-0.00804931640624984;
2024-09-08-01:09:18.156947;0.06822753906249979;-0.4235473632812501;0.0;-0.0007666015624998579;-0.4235473632812501;-0.00804931640624984;
2024-09-08-01:09:18.157754;0.06171142578125011;-0.4281469726562501;0.0;-0.0005749511718748934;-0.42239746093749986;-0.00804931640624984;
2024-09-08-01:09:18.158509;0.05519531249999998;-0.4281469726562501;0.0;-0.00038330078124992895;-0.4202893066406248;-0.00804931640624984;
2024-09-08-01:09:18.159257;0.038330078125;-0.4388793945312499;0.0;-0.00019165039062496447;-0.41837280273437516;-0.00804931640624984;
2024-09-08-01:09:18.160056;0.03430541992187486;-0.4398376464843752;0.0;-0.00019165039062496447;-0.4174145507812499;-0.00804931640624984;
2024-09-08-01:09:18.160940;0.022231445312499876;-0.43715454101562523;0.0;-0.00019165039062496447;-0.4151147460937499;-0.00804931640624984;
2024-09-08-01:09:18.161912;0.013032226562499805;-0.433704833984375;0.0;-0.00038330078124992895;-0.4130065917968748;-0.00804931640624984;
2024-09-08-01:09:18.163775;0.00958251953125;-0.4325549316406252;0.0;-0.00038330078124992895;-0.41185668945312504;-0.00804931640624984;
2024-09-08-01:09:18.167872;0.005174560546874929;-0.4235473632812501;0.0;-0.0005749511718748934;-0.409556884765625;-0.007857666015624876;
2024-09-08-01:09:18.168714;0.008624267578125178;-0.4149230957031249;0.0;-0.0005749511718748934;-0.407257080078125;-0.007857666015624876;
2024-09-08-01:09:18.170128;0.005941162109374787;-0.409556884765625;0.0;-0.0005749511718748934;-0.4061071777343752;-0.007857666015624876;
2024-09-08-01:09:18.173186;0.005174560546874929;-0.4108984375000002;0.0;-0.0007666015624998579;-0.4038073730468752;-0.007857666015624876;
2024-09-08-01:09:18.177103;0.0026831054687499467;-0.4082153320312498;0.0;-0.0007666015624998579;-0.400166015625;-0.007857666015624876;
2024-09-08-01:09:18.178645;0.0011499023437497868;-0.4091735839843751;0.0;-0.0009582519531248224;-0.39786621093749996;-0.00804931640624984;
2024-09-08-01:09:18.184858;-0.005941162109374787;-0.41243164062499993;0.0;-0.0009582519531248224;-0.39556640624999995;-0.00804931640624984;
2024-09-08-01:09:18.186105;-0.010349121093749858;-0.40974853515625;0.0;-0.0009582519531248224;-0.3942248535156252;-0.00804931640624984;
2024-09-08-01:09:18.187380;-0.018590087890625107;-0.40994018554687495;0.0;-0.0011499023437497868;-0.3917333984375002;-0.00804931640624984;
2024-09-08-01:09:18.188429;-0.024722900390624858;-0.41415649414062505;0.0;-0.0011499023437497868;-0.3894335937500002;-0.008240966796874805;
2024-09-08-01:09:18.190147;-0.029514160156249858;-0.41319824218750023;0.0;-0.0013415527343751954;-0.38828369140624996;-0.008240966796874805;
2024-09-08-01:09:18.191655;-0.032197265624999805;-0.41607299804687514;0.0;-0.0015332031250001599;-0.385792236328125;-0.008432617187500213;
2024-09-08-01:09:18.193532;-0.033730468749999964;-0.4177978515624998;0.0;-0.0015332031250001599;-0.38349243164062496;-0.008432617187500213;
2024-09-08-01:09:18.195647;-0.030089111328125195;-0.4158813476562502;0.0;-0.0015332031250001599;-0.3823425292968752;-0.008624267578125178;
2024-09-08-01:09:18.197728;-0.030855712890625053;-0.4108984375000002;0.0;-0.0017248535156251243;-0.37965942382812523;-0.008624267578125178;
2024-09-08-01:09:18.199814;-0.024914550781249822;-0.4055322265624999;0.0;-0.0017248535156251243;-0.3771679687499998;-0.008815917968750142;
2024-09-08-01:09:18.201938;-0.02069824218750016;-0.4041906738281251;0.0;-0.0015332031250001599;-0.37601806640625;-0.008815917968750142;
2024-09-08-01:09:18.204052;-0.014757080078124929;-0.3947998046875001;0.0;-0.0015332031250001599;-0.3731433105468751;-0.009007568359375107;
2024-09-08-01:09:18.206400;-0.012073974609374982;-0.38924194335937523;0.0;-0.0013415527343751954;-0.37046020507812516;-0.009007568359375107;
2024-09-08-01:09:18.208357;-0.00958251953125;-0.38483398437500016;0.0;-0.0013415527343751954;-0.36911865234374996;-0.009199218750000071;
2024-09-08-01:09:18.215366;-0.004791259765625;-0.38253417968750014;0.0;-0.0011499023437497868;-0.36624389648437505;-0.009199218750000071;
2024-09-08-01:09:18.216560;-0.0017248535156251243;-0.3821508789062502;0.0;-0.0009582519531248224;-0.3635607910156251;-0.009199218750000071;
2024-09-08-01:09:18.217413;-0.0026831054687499467;-0.3827258300781251;0.0;-0.0009582519531248224;-0.36202758789062495;-0.009199218750000071;
2024-09-08-01:09:18.218486;-0.005941162109374787;-0.3871337890625002;0.0;-0.0007666015624998579;-0.35915283203125004;-0.009199218750000071;
